2024-06-23 17:26:57 status half-installed openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:00 status unpacked openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:00 install openjdk-17-jre:amd64 <none> 17.0.11+9-1
2024-06-23 17:27:00 status half-installed openjdk-17-jre:amd64 17.0.11+9-1
2024-06-23 17:27:00 status unpacked openjdk-17-jre:amd64 17.0.11+9-1
2024-06-23 17:27:00 install openjdk-17-jdk-headless:amd64 <none> 17.0.11+9-1
2024-06-23 17:27:00 status half-installed openjdk-17-jdk-headless:amd64 17.0.11+9-1
2024-06-23 17:27:04 status unpacked openjdk-17-jdk-headless:amd64 17.0.11+9-1
2024-06-23 17:27:04 install openjdk-17-jdk:amd64 <none> 17.0.11+9-1
2024-06-23 17:27:04 status half-installed openjdk-17-jdk:amd64 17.0.11+9-1
2024-06-23 17:27:04 status unpacked openjdk-17-jdk:amd64 17.0.11+9-1
2024-06-23 17:27:04 startup packages configure
2024-06-23 17:27:04 configure libpixman-1-0:amd64 0.42.2-1+b1 <none>
2024-06-23 17:27:04 status unpacked libpixman-1-0:amd64 0.42.2-1+b1
2024-06-23 17:27:04 status half-configured libpixman-1-0:amd64 0.42.2-1+b1
2024-06-23 17:27:04 status installed libpixman-1-0:amd64 0.42.2-1+b1
2024-06-23 17:27:04 configure libsharpyuv0:amd64 1.4.0-0.1 <none>
2024-06-23 17:27:04 status unpacked libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:27:04 status half-configured libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:27:04 status installed libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:27:04 configure fontconfig:amd64 2.15.0-1.1 <none>
2024-06-23 17:27:04 status unpacked fontconfig:amd64 2.15.0-1.1
2024-06-23 17:27:04 status half-configured fontconfig:amd64 2.15.0-1.1
2024-06-23 17:27:07 status installed fontconfig:amd64 2.15.0-1.1
2024-06-23 17:27:07 configure libxdamage1:amd64 1:1.1.6-1+b1 <none>
2024-06-23 17:27:07 status unpacked libxdamage1:amd64 1:1.1.6-1+b1
2024-06-23 17:27:07 status half-configured libxdamage1:amd64 1:1.1.6-1+b1
2024-06-23 17:27:07 status installed libxdamage1:amd64 1:1.1.6-1+b1
2024-06-23 17:27:07 configure liblerc4:amd64 4.0.0+ds-4+b1 <none>
2024-06-23 17:27:07 status unpacked liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:27:07 status half-configured liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:27:07 status installed liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:27:07 configure hicolor-icon-theme:all 0.18-1 <none>
2024-06-23 17:27:07 status unpacked hicolor-icon-theme:all 0.18-1
2024-06-23 17:27:07 status half-configured hicolor-icon-theme:all 0.18-1
2024-06-23 17:27:07 status installed hicolor-icon-theme:all 0.18-1
2024-06-23 17:27:07 configure libdatrie1:amd64 0.2.13-3 <none>
2024-06-23 17:27:07 status unpacked libdatrie1:amd64 0.2.13-3
2024-06-23 17:27:07 status half-configured libdatrie1:amd64 0.2.13-3
2024-06-23 17:27:07 status installed libdatrie1:amd64 0.2.13-3
2024-06-23 17:27:07 configure libxcb-render0:amd64 1.17.0-2 <none>
2024-06-23 17:27:07 status unpacked libxcb-render0:amd64 1.17.0-2
2024-06-23 17:27:07 status half-configured libxcb-render0:amd64 1.17.0-2
2024-06-23 17:27:07 status installed libxcb-render0:amd64 1.17.0-2
2024-06-23 17:27:07 configure libxcursor1:amd64 1:1.2.2-1 <none>
2024-06-23 17:27:07 status unpacked libxcursor1:amd64 1:1.2.2-1
2024-06-23 17:27:07 status half-configured libxcursor1:amd64 1:1.2.2-1
2024-06-23 17:27:07 status installed libxcursor1:amd64 1:1.2.2-1
2024-06-23 17:27:07 configure libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1 <none>
2024-06-23 17:27:07 status unpacked libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:27:07 status half-configured libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:27:07 status installed libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:27:07 configure libdeflate0:amd64 1.20-1 <none>
2024-06-23 17:27:07 status unpacked libdeflate0:amd64 1.20-1
2024-06-23 17:27:07 status half-configured libdeflate0:amd64 1.20-1
2024-06-23 17:27:07 status installed libdeflate0:amd64 1.20-1
2024-06-23 17:27:07 configure libjbig0:amd64 2.1-6.1+b1 <none>
2024-06-23 17:27:07 status unpacked libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:27:07 status half-configured libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:27:07 status installed libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:27:07 configure libcairo2:amd64 1.18.0-3+b1 <none>
2024-06-23 17:27:07 status unpacked libcairo2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 status half-configured libcairo2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 status installed libcairo2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 configure libfribidi0:amd64 1.0.13-3+b1 <none>
2024-06-23 17:27:07 status unpacked libfribidi0:amd64 1.0.13-3+b1
2024-06-23 17:27:07 status half-configured libfribidi0:amd64 1.0.13-3+b1
2024-06-23 17:27:07 status installed libfribidi0:amd64 1.0.13-3+b1
2024-06-23 17:27:07 configure libwebp7:amd64 1.4.0-0.1 <none>
2024-06-23 17:27:07 status unpacked libwebp7:amd64 1.4.0-0.1
2024-06-23 17:27:07 status half-configured libwebp7:amd64 1.4.0-0.1
2024-06-23 17:27:07 status installed libwebp7:amd64 1.4.0-0.1
2024-06-23 17:27:07 configure openjdk-17-jre-headless:amd64 17.0.11+9-1 <none>
2024-06-23 17:27:07 status unpacked openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:07 status half-configured openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:07 status installed openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:07 status triggers-pending ca-certificates-java:all 20240118
2024-06-23 17:27:07 status triggers-awaited openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:07 configure libtiff6:amd64 4.5.1+git230720-4 <none>
2024-06-23 17:27:07 status unpacked libtiff6:amd64 4.5.1+git230720-4
2024-06-23 17:27:07 status half-configured libtiff6:amd64 4.5.1+git230720-4
2024-06-23 17:27:07 status installed libtiff6:amd64 4.5.1+git230720-4
2024-06-23 17:27:07 configure libthai-data:all 0.1.29-2 <none>
2024-06-23 17:27:07 status unpacked libthai-data:all 0.1.29-2
2024-06-23 17:27:07 status half-configured libthai-data:all 0.1.29-2
2024-06-23 17:27:07 status installed libthai-data:all 0.1.29-2
2024-06-23 17:27:07 configure libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1 <none>
